Subject,Start Date,Start Time,End Date,End Time,Location,Description
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-10-18,07:00,2023-10-18,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-10-18,10:00,2023-10-18,12:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-10-18,13:00,2023-10-18,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-10-19,11:00,2023-10-19,14:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-10-19,14:00,2023-10-19,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-10-20,07:00,2023-10-20,10:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-10-20,11:00,2023-10-20,14:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-10-24,07:00,2023-10-24,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-10-24,11:00,2023-10-24,14:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-10-25,07:00,2023-10-25,10:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-10-25,10:00,2023-10-25,12:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-10-25,13:00,2023-10-25,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-10-26,11:00,2023-10-26,14:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-10-26,14:00,2023-10-26,16:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-10-27,07:00,2023-10-27,10:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-10-27,11:00,2023-10-27,14:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-10-31,08:00,2023-10-31,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-10-31,12:00,2023-10-31,15:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
MICROECONOMIA / (1) Modulo 1,2023-11-02,12:00,2023-11-02,15:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-11-02,15:00,2023-11-02,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-11-03,08:00,2023-11-03,11:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-11-03,12:00,2023-11-03,15:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-11-07,08:00,2023-11-07,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-11-07,12:00,2023-11-07,15:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-11-08,08:00,2023-11-08,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-11-08,11:00,2023-11-08,13:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-11-08,14:00,2023-11-08,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-11-09,12:00,2023-11-09,15:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-11-09,15:00,2023-11-09,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-11-10,08:00,2023-11-10,11:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-11-10,12:00,2023-11-10,15:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-11-14,08:00,2023-11-14,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-11-14,12:00,2023-11-14,15:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-11-15,08:00,2023-11-15,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-11-15,11:00,2023-11-15,13:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-11-15,14:00,2023-11-15,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-11-16,12:00,2023-11-16,15:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-11-16,15:00,2023-11-16,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-11-17,08:00,2023-11-17,11:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-11-17,12:00,2023-11-17,15:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-11-21,08:00,2023-11-21,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-11-21,12:00,2023-11-21,15:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-11-22,08:00,2023-11-22,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-11-22,11:00,2023-11-22,13:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-11-22,14:00,2023-11-22,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-11-23,12:00,2023-11-23,15:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-11-23,15:00,2023-11-23,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-11-24,08:00,2023-11-24,11:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-11-24,12:00,2023-11-24,15:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-11-28,08:00,2023-11-28,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-11-28,12:00,2023-11-28,15:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-11-29,08:00,2023-11-29,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-11-29,11:00,2023-11-29,13:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-11-29,14:00,2023-11-29,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-11-30,12:00,2023-11-30,15:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-11-30,15:00,2023-11-30,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-12-01,08:00,2023-12-01,11:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-12-01,12:00,2023-12-01,15:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
METODI NUMERICI PER IL CALCOLO,2023-12-05,08:00,2023-12-05,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-12-05,12:00,2023-12-05,15:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-12-06,08:00,2023-12-06,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-12-06,11:00,2023-12-06,13:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-12-06,14:00,2023-12-06,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-12-07,12:00,2023-12-07,15:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-12-07,15:00,2023-12-07,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
METODI NUMERICI PER IL CALCOLO,2023-12-12,08:00,2023-12-12,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
MICROECONOMIA / (1) Modulo 1,2023-12-12,12:00,2023-12-12,15:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Emanuele Bacchiega
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-12-13,08:00,2023-12-13,11:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-12-13,11:00,2023-12-13,13:00,Via Filippo Re 10 - Bologna,AULA MAGNA - Piano Terra - Giulio Casciola
FINANZA AZIENDALE,2023-12-13,14:00,2023-12-13,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
MICROECONOMIA / (1) Modulo 1,2023-12-14,12:00,2023-12-14,15:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emanuele Bacchiega
FINANZA AZIENDALE,2023-12-14,15:00,2023-12-14,17:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Emilio Tomasini
ALGORITMI E STRUTTURE DATI / (1) Modulo 1,2023-12-15,08:00,2023-12-15,11:00,Piazza di Porta San Donato 1 - Bologna,AULA M2 P.GAZZI - Piano Terra - Lorenzo Donatiello
METODI NUMERICI PER IL CALCOLO,2023-12-15,12:00,2023-12-15,15:00,Piazza di Porta San Donato 5 - Bologna,AULA L.TONELLI - Piano Sesto - Giulio Casciola
